,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,CLOSEST_CIRCLE_DIST,CLOSEST_CIRCLE_INDEX
12782,-122.34564511274179,47.60961130134375,12783,26991,26991,1321224,Matched,Block,,ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2004-09-22T00:00:00.000Z,9/22/2004 5:51:00 AM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Clear or Partly Cloudy,Dry,Dawn,,4266044.0,,45,Vehicle - Pedalcyclist,0,0,N,1458.7966300473481,185
168037,-122.33295031307426,47.61452106115382,168038,212750,213030,3732883,Matched,Intersection,29870.0,9TH AVE AND OLIVE WAY, ,,2,Injury Collision,Pedestrian,3,1,0,1,1,0,0,2015-12-19T00:00:00.000Z,12/19/2015 6:35:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,0,Vehicle going straight hits pedestrian,0,523738,N,487.98895998518026,185
97871,-122.3672759579633,47.51829083204438,97872,112061,112061,3345887,Matched,Block,,27TH AVE SW BETWEEN SW CAMBRIDGE ST AND SW ROXBURY ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2010-10-10T00:00:00.000Z,10/10/2010 5:00:00 PM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Unknown,Unknown,Unknown,,10283014.0,,32,One parked--one moving,0,0,N,228.11269557445198,84
25213,-122.32780457563459,47.613930229686225,25214,39502,39502,1772494,Matched,Intersection,29877.0,MELROSE AVE AND PIKE ST,,,2,Injury Collision,Angles,3,0,0,3,1,0,0,2005-03-12T00:00:00.000Z,3/12/2005 8:31:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dusk,,5071014.0,,10,Entering at angle,0,0,N,128.23616742908274,185
100675,-122.30249044220456,47.620789820918525,100676,116190,116190,3329408,Matched,Block,,23RD AVE E BETWEEN E JOHN ST AND E THOMAS ST,,,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2010-02-06T00:00:00.000Z,2/6/2010 3:23:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear or Partly Cloudy,Dry,Daylight,,10037030.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,106.19877119427045,580
91958,-122.292651773672,47.59733079667594,91959,106895,106895,3199428,Matched,Block,,31ST AVE S BETWEEN S KING ST AND S LANE ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,2010-04-01T00:00:00.000Z,4/1/2010 3:48:00 PM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Overcast,Wet,Daylight,,10091015.0,,32,One parked--one moving,0,0,N,283.78404283177696,87
151648,-122.3142986219418,47.618787513673524,152649,181453,181493,3642418,Matched,Intersection,29062.0,14TH AVE AND E DENNY WAY, ,,2,Injury Collision,Angles,4,0,0,3,2,0,0,2014-10-30T00:00:00.000Z,10/30/2014 1:49:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,10,Entering at angle,0,0,N,98.1719413840719,387
62774,-122.34542327108544,47.517303436536466,62775,76767,76767,2827022,Matched,Intersection,35066.0,8TH AVE SW AND SW ROXBURY ST,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2007-08-20T00:00:00.000Z,8/20/2007 4:57:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7232008.0,,28,From opposite direction - one left turn - one straight,0,0,N,502.0437169128432,415
78943,-122.31551840644484,47.54669470846282,79944,95746,95746,3343854,Matched,Block,,S ALBRO PL BETWEEN 13TH AVE S AND STANLEY AVE S,,,2,Injury Collision,Left Turn,5,0,0,2,1,0,0,2009-10-16T00:00:00.000Z,10/16/2009 2:44:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Raining,Wet,Daylight,,9289021.0,,15,From same direction - one left turn - one straight,0,0,N,399.0999836499528,399
7995,-122.2757417125307,47.562921217433214,7996,21749,21749,1771643,Matched,Block,,46TH AVE S BETWEEN S GENESEE ST AND S SNOQUALMIE ST,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2004-08-19T00:00:00.000Z,8/19/2004 2:47:00 AM,Mid-Block (not related to intersection),28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,4232004.0,,50,Fixed object,0,0,N,261.7533395518788,251
157370,-122.30162757763344,47.705620063085995,157371,190710,190790,3736901,Matched,Block,,LAKE CITY WAY NE BETWEEN 24TH AVE NE AND NE 107TH ST, ,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2015-04-06T00:00:00.000Z,4/6/2015 4:30:00 PM,Driveway Junction,11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,497.96923451017307,516
12756,-122.32789888863978,47.615470726074506,12757,26268,26268,1789692,Matched,Block,,MELROSE AVE BETWEEN PINE ST AND YALE AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2004-06-29T00:00:00.000Z,6/29/2004 7:30:00 PM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Unknown,Unknown,Unknown,,4181045.0,,32,One parked--one moving,0,0,N,201.85368126147083,55
141429,-122.32790375541016,47.61523842026632,141430,163580,163600,3599453,Matched,Intersection,29863.0,MELROSE AVE AND PINE ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-03-19T00:00:00.000Z,3/19/2013 2:42:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,,,45,Vehicle - Pedalcyclist,10336,0,N,215.74145078253298,55
31081,-122.34099409382908,47.6281913119473,32082,46242,46242,C655264,Matched,Block,,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,,,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2005-08-08T00:00:00.000Z,8/8/2005,Driveway Junction,11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,5220037.0,,22,One car leaving driveway access,0,0,N,296.8494976238779,272
34305,-122.32905596148373,47.580852706239035,35306,49277,49277,2070039,Matched,Block,,4TH AVE S BETWEEN S STACY ST AND S LANDER ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2006-06-08T00:00:00.000Z,6/8/2006,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,6159020.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,1065.579763845015,875
47423,-122.33466559753744,47.609685420831354,47424,61605,61605,2608485,Matched,Intersection,29913.0,5TH AVE AND UNION ST,,,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,2006-09-10T00:00:00.000Z,9/10/2006 2:20:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,6253011.0,,10,Entering at angle,0,0,N,689.0081975466386,185
103564,-122.30649516828528,47.66933890756174,103565,119416,119416,3559014,Matched,Intersection,26028.0,20TH AVE NE AND NE RAVENNA WB BV,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-02-08T00:00:00.000Z,2/8/2011 5:30:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Dusk,,11039023.0,,45,Vehicle - Pedalcyclist,32742,0,N,331.2439067132224,616
80272,-122.33404056094022,47.71138276142561,80273,96337,96337,3328080,Matched,Block,,MERIDIAN AVE N BETWEEN N 113TH ST AND N 115TH ST,,,2,Injury Collision,Other,1,0,0,1,1,0,0,2009-11-19T00:00:00.000Z,11/19/2009 12:44:00 PM,Mid-Block (but intersection related),28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Raining,Wet,Daylight,,9323012.0,,50,Fixed object,0,0,N,222.4957325292065,265
122039,-122.33140852764343,47.602769175945895,123040,137837,137837,3200350,Matched,Intersection,30480.0,3RD AVE AND JAMES ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-08-08T00:00:00.000Z,8/8/2012 9:51:00 AM,Mid-Block (not related to intersection),0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,12221009.0,,45,Vehicle - Pedalcyclist,24810,0,N,998.8678252785696,762
65089,-122.31711056968085,47.66129534249778,65090,77876,77876,2829860,Matched,Block,,NE 45TH ST BETWEEN ROOSEVELT WAY NE AND 11TH AVE NE,,,2,Injury Collision,Other,1,0,0,1,1,0,0,2007-07-15T00:00:00.000Z,7/15/2007 3:50:00 PM,Mid-Block (not related to intersection),13.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7196014.0,,52,Vehicle overturned,0,0,N,225.1868843884872,785
142735,-122.30186929118963,47.72022110968173,143736,168448,168468,3504294,Matched,Block,,25TH AVE NE BETWEEN NE 125TH ST AND NE 126TH ST, ,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2014-05-22T00:00:00.000Z,5/22/2014 8:55:00 AM,Mid-Block (not related to intersection),66.0,PEDALCYCLIST STRUCK OBJECT IN ROAD,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,Y,45,Vehicle - Pedalcyclist,0,0,N,100.92116377767653,459
67132,-122.34458338663993,47.61575220037113,67133,81163,81163,3280552,Matched,Block,,4TH AVE BETWEEN BELL ST AND BATTERY ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2008-09-16T00:00:00.000Z,9/16/2008 8:00:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,8260028.0,,32,One parked--one moving,0,0,N,1244.650265317181,422
189640,-122.38616134647256,47.673830443912784,189641,249216,249816,3708147,Unmatched,Block,,NW 62ND ST BETWEEN 22ND AVE NW AND 24TH AVE NW, ,,0,Unknown,,0,0,0,0,0,0,0,2017-07-02T00:00:00.000Z,7/2/2017,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,,,,,,,, ,,0,0,Y,106.65097625714004,355
44892,-122.32360451810742,47.68561801862272,44893,59264,59264,2400386,Matched,Block,,BANNER WAY NE BETWEEN 5TH AVE NE AND 4TH AVE NE,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2006-05-30T00:00:00.000Z,5/30/2006 3:57:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,6150002.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N,218.99362943192597,976
135309,-122.31950496044907,47.60002066799362,136310,152890,152910,3672577,Matched,Block,,S MAIN ST BETWEEN DEAD END 2 AND 10TH AVE S, ,,2,Injury Collision,Parked Car,5,0,0,2,3,0,0,2013-08-25T00:00:00.000Z,8/25/2013 3:47:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,N,579.6701176342217,627
4714,-122.35018770614904,47.616133073529866,1715,135700,135700,3549252,Matched,Block,,CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2012-10-13T00:00:00.000Z,10/13/2012 7:42:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,,12287023.0,,15,From same direction - one left turn - one straight,0,0,N,1129.3794656376667,422
9847,-122.32402481605853,47.68197964306287,9848,23467,23467,1780532,Matched,Block,,NE MAPLE LEAF PL BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2004-02-14T00:00:00.000Z,2/14/2004 10:19:00 AM,Mid-Block (not related to intersection),15.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, RIGHT SIDE SIDESWIPE",Y,0,Clear or Partly Cloudy,Wet,Daylight,,4045033.0,,32,One parked--one moving,0,0,N,527.2434515411848,567
80285,-122.32291782173796,47.61026679879098,80286,94559,94559,2797766,Matched,Intersection,29787.0,MADISON ST AND SUMMIT AVE, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2009-12-29T00:00:00.000Z,12/29/2009 6:43:00 AM,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights Off,Y,9363002.0,,2,Vehicle turning left hits pedestrian,0,523611,N,135.46437458516456,762
48805,-122.33530772404491,47.61671639345228,48806,63262,63262,2607115,Matched,Block,,VIRGINIA ST BETWEEN 9TH AVE AND TERRY AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2006-12-05T00:00:00.000Z,12/5/2006,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,6339017.0,,32,One parked--one moving,0,0,N,735.2573079774785,55
156481,-122.32314837088076,47.703140321077996,155482,186622,186702,3708302,Matched,Intersection,37475.0,5TH AVE NE AND NE 103RD ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2015-02-26T00:00:00.000Z,2/26/2015 9:32:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,10,Entering at angle,0,0,N,224.33230315541232,989
200579,-122.30691704587454,47.63954781261694,198580,286121,286981,3702636,Unmatched,Block,,E LYNN ST BETWEEN 19TH AVE E AND E HOWE ST,NEI,"Not Enough Information, or Insufficient Location Information",0,Unknown,,0,0,0,0,0,0,0,2018-05-08T00:00:00.000Z,5/8/2018,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,,,,,,,, ,,0,0,Y,233.7239738244518,575
171948,-122.28644273137505,47.54807903603074,171949,221459,221739,3782703,Matched,Intersection,485927.0,37TH AVE S AND M L KING JR ER WAY S, ,,2b,Serious Injury Collision,Pedestrian,2,1,0,1,1,1,0,2016-06-13T00:00:00.000Z,6/13/2016 6:49:00 PM,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,Y,N,Clear or Partly Cloudy,Dry,Dusk,,,,0,Vehicle going straight hits pedestrian,0,545819,N,185.99930538229242,637
59013,-122.3575801513532,47.6570341997771,59014,73124,73124,2829890,Matched,Block,,1ST AVE NW BETWEEN NW 41ST ST AND N 42ND W ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2007-06-29T00:00:00.000Z,6/29/2007 6:00:00 PM,Mid-Block (not related to intersection),13.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Unknown,Unknown,Unknown,,7180048.0,,32,One parked--one moving,0,0,N,247.7944368761886,570
9713,-122.34186554530476,47.73413094699242,9714,23730,23730,1746827,Matched,Block,,N 145TH ST BETWEEN STONE AVE N AND INTERLAKE AVE N,,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,0,0,0,2004-05-27T00:00:00.000Z,5/27/2004 10:55:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Raining,Wet,Daylight,,4148057.0,Y,14,From same direction - both going straight - one stopped - rear-end,0,0,N,260.92727810072245,337
121662,-122.3362384330736,47.60469504653443,121663,137319,137319,3562609,Matched,Intersection,29621.0,1ST AVE AND MADISON ST, ,,2,Injury Collision,Angles,2,0,0,2,1,0,0,2012-01-04T00:00:00.000Z,1/4/2012 3:44:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,12004042.0,,10,Entering at angle,0,0,N,1083.501431584488,762
96357,-122.37612339278841,47.663664352401284,96358,110885,110885,2899865,Matched,Intersection,25468.0,15TH NB AVE NW AND NW LEARY WAY,,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,0,0,0,2010-05-15T00:00:00.000Z,5/15/2010 6:50:00 PM,At Intersection (intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,10135021.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,607.8631145094254,206
73004,-122.32079700950146,47.547414823665925,73005,87074,87074,2892532,Matched,Block,,S BAILEY ST BETWEEN CORSON AVE S AND CARLETON AVE S,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2008-06-09T00:00:00.000Z,6/9/2008,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Dry,Daylight,,8161009.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N,179.8767228223159,399
165326,-122.30701035929792,47.571923718360175,165327,206523,206722,E478837,Matched,Block,,S SPOKANE ST BETWEEN 18TH AVE S AND 19TH AVE S, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2015-11-03T00:00:00.000Z,11/3/2015 3:08:00 PM,Mid-Block (but intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,232.85100858966211,783
184425,-122.38711714505295,47.54939759031602,184426,244513,245093,3744538,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW JUNEAU ST AND SW RAYMOND ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2017-06-18T00:00:00.000Z,6/18/2017 1:48:00 AM,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Overcast,Wet,Dark - Street Lights On,,,,32,One parked--one moving,0,0,Y,148.99064965687242,372
135183,-122.29862760162851,47.54066497850759,136184,154328,154348,3506101,Unmatched,Block,,BEACON WR AVE S BETWEEN S WILLOW ST AND MILITARY RD S, ,,0,Unknown,,0,0,0,0,0,0,0,2013-09-15T00:00:00.000Z,9/15/2013,Mid-Block (not related to intersection),0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,,,,,,,, ,,0,0,N,533.8109643183491,14
141447,-122.33844845839597,47.60878749220817,141448,163441,163461,3465763,Matched,Block,,2ND AVE BETWEEN UNION ST AND PIKE ST, ,,2,Injury Collision,Sideswipe,5,0,0,2,1,0,0,2013-03-21T00:00:00.000Z,3/21/2013 8:42:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N,985.4194341872585,185
83292,-122.30205180717087,47.642447221612606,82293,96957,96957,2898938,Matched,Intersection,28402.0,24TH AVE E AND EAST MONTLAKE PL E,,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,0,0,0,2009-05-14T00:00:00.000Z,5/14/2009 6:24:00 PM,At Intersection (but not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear or Partly Cloudy,Dry,Daylight,,9134024.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,130.01866095006707,1034
160648,-122.32873350474637,47.60487636744321,158649,197565,197685,E434324,Matched,Intersection,29963.0,6TH AVE AND CHERRY ST, ,,1,Property Damage Only Collision,Angles,1,0,0,2,0,0,0,2015-06-02T00:00:00.000Z,6/2/2015 6:49:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,697.1452687730214,762
