X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
-122.290855817262937,47.629521818389364,1085,10616,1281048.424,233033.54179,29426,13,38533,E,32ND AVE E AND E HIGHLAND DR,0, ,NONE,-122.290855818615,47.629521818372
-122.386145805319089,47.591910857408458,1086,12891,1257279.91402,219776.6893,35562,13,147309,SW,CALIFORNIA AVE SW AND SW DONALD ST,3, ,NONE,-122.38614580667,47.5919108573899
-122.307294045642749,47.728425953438176,1087,2668,1277686.83321,269180.98964,36096,13,221526,N,20TH AVE NE AND NE 137TH ST,0, ,NONE,-122.307294046997,47.7284259534206
-122.409093019819991,47.66953595137899,1088,6763,1252198.50064,248200.79173,25057,13,10149,MGNL-QA,40TH AVE W AND W SHERIDAN ST,0, ,NONE,-122.409093021173,47.6695359513602
-122.352172879567618,47.613334417214247,1089,11713,1265815.422,227422.44726,29695,13,39550,DWNTN,ALASKAN WAY AND VINE ST,1, ,HALFPED,-122.352172880919,47.6133344171961
-122.301287755364939,47.588345495605878,1090,13194,1278190.14099,218065.47394,31405,13,52111,SE,24TH AVE S AND S MASSACHUSETTS ST,3, ,NONE,-122.301287756716,47.5883454955884
-122.299376536606999,47.707354993660118,1091,3643,1279488.62086,261459.18176,36673,13,227328,N,27TH AVE NE AND NE 108TH PL,0, ,NONE,-122.299376537961,47.7073549936426
-122.37167302517625,47.511266298829398,1092,18994,1260262.42692,190294.53989,38093,13,301526,SW,31ST AVE SW AND SW 103RD ST,0, ,NONE,-122.371673026525,47.511266298811
-122.360889633424662,47.714180694653244,1093,3280,1264395.95806,264243.02791,36228,13,224121,NW,3RD AVE NW AND NW 117TH ST,2, ,NONE,-122.360889634779,47.714180694635
-122.351317574753239,47.632309646116411,1094,10333,1266162.86315,234338.44368,28821,13,35511,MGNL-QA,3RD AVE N AND GALER ST,0, ,NONE,-122.351317576105,47.6323096460983
-122.325702733721471,47.654888911538556,1095,8439,1272637.0238,242449.5139,27244,13,23566,LKUN,LATONA AVE NE AND NE PACIFIC ST,1, ,NONE,-122.325702735074,47.6548889115207
-122.279392528523644,47.6552939239754,1096,8458,1284051.12582,242379.33713,27362,13,25170,NE,45TH AVE NE AND NE 38TH ST,0, ,NONE,-122.279392529876,47.6552939239581
-122.355129119711165,47.630999606755879,1097,10445,1265213.81329,233879.23959,28828,13,35519,MGNL-QA,LEE ST AND TOWER PL,0, ,NONE,-122.355129121063,47.6309996067377
-122.329058682162,47.575573747284587,1098,14076,1271247.81343,213539.61793,31382,13,51722,GRDWM,4TH AVE S AND S HANFORD ST,1, ,NONE,-122.329058683512,47.5755737472667
-122.320942389575521,47.624269036118491,1099,10971,1273594.1269,231259.81354,28994,13,36306,E,BROADWAY E AND E MERCER ST,2, ,CITY,-122.320942390927,47.6242690361007
-122.327461443994778,47.571420172858268,1100,14557,1271612.574,212017.16699,32366,13,57663,GRDWM,5TH AVE S AND S SPOKANE SR ST,2, ,CITY,-122.327461445345,47.5714201728404
-122.321263634871187,47.630490625663533,1101,10497,1273558.79813,233530.34103,28952,13,36112,E,BROADWAY E AND E HIGHLAND DR,0, ,NONE,-122.321263636223,47.6304906256458
-122.315457566979688,47.608053310652508,1102,12054,1274832.52613,225319.88163,29794,13,40320,CNTRL,13TH AVE AND E CHERRY ST,2, ,NONE,-122.315457568331,47.6080533106348
-122.381188046809811,47.654229877693524,1103,8428,1258960.1946,242479.26545,26483,13,20413,MGNL-QA,FISHERMAN TERM DR AND W EMERSON PL,1, ,CITY,-122.381188048162,47.654229877675
-122.296523123357503,47.625149893975149,1104,10933,1279620.93625,231465.61987,29233,13,37152,CNTRL-E,28TH AVE E AND E ROY ST,0, ,NONE,-122.296523124709,47.6251498939577
-122.352596144389381,47.654142924925203,1105,8490,1266004.89118,242307.1395,27056,13,22852,LKUN,DAYTON AVE N AND N 39TH W ST,2, ,NONE,-122.352596145742,47.6541429249071
-122.29668826890682,47.574569731072927,1106,14198,1279229.41011,213019.85013,32402,13,58103,SE,M L KING JR ER WAY S AND S HANFORD S ST,1, ,CITY,-122.296688270257,47.5745697310555
-122.29687170220565,47.574025670856493,1107,14254,1279180.36639,212822.29288,32409,13,58112,GRDWM,M L KING JR WR WAY S AND S HORTON ST,1, ,NONE,-122.296871703556,47.574025670839
-122.296712958397407,47.573278824540203,1108,14329,1279214.36345,212549.17365,32418,13,58121,SE,M L KING JR ER WAY S AND S BYRON ST,1, ,NONE,-122.296712959748,47.5732788245227
-122.284540523007706,47.733742948905054,1109,2460,1283322.19373,271013.68955,38443,13,222501,N,RIVIERA PL NE AND CITY LIMITS,0, ,NONE,-122.284540524362,47.7337429488877
-122.309939877497484,47.628683095170885,1110,10649,1276337.74239,232817.36208,29314,13,37519,E,17TH AVE E AND E PROSPECT ST,0, ,NONE,-122.309939878849,47.6286830951533
-122.35958981173323,47.639596907149148,1111,9692,1264176.35281,237036.40081,27816,13,28303,MGNL-QA,W MCGRAW PL AND W MCGRAW E ST,2, ,NONE,-122.359589813085,47.639596907131
-122.283920418729565,47.566186258381954,1112,15061,1282322.77536,209902.73319,32700,13,59720,SE,39TH AVE S AND S DAKOTA ST,0, ,NONE,-122.28392042008,47.5661862583646
-122.316008850314418,47.582376771285425,1113,13594,1274516.12626,215958.3341,31338,13,51462,GRDWM,13TH AVE S AND DEAD END 1,0, ,NONE,-122.316008851665,47.5823767712677
-122.284250005504376,47.68665948884459,1114,5247,1283069.88909,253840.92306,24902,13,7521,NE,41ST AVE NE AND NE 80TH ST,0, ,NONE,-122.284250006858,47.6866594888273
-122.296473591448034,47.538963909639961,1115,17124,1279035.47551,200033.43501,34344,13,72302,GRDWM,BEACON WR AVE S AND S MYRTLE ST,1, ,CITY,-122.296473592798,47.5389639096225
-122.392690944882943,47.532041724577667,1116,17513,1255222.73232,197975.66528,34771,13,75506,SW,FAUNTLEROY WAY SW AND SW KENYON PL,2, ,HALFPED,-122.392690946232,47.5320417245591
-122.298779885977964,47.615299500811403,1117,11630,1278996.11014,227883.77846,30002,13,41125,CNTRL,26TH AVE AND E PINE ST,0, ,NONE,-122.298779887329,47.6152995007939
-122.400985122971562,47.640525777031215,1118,9535,1253980.21226,237580.27562,27491,13,26175,MGNL-QA,34TH AVE W AND W SMITH S ST,2, ,NONE,-122.400985124324,47.6405257770125
-122.339051379728957,47.668780516620359,1119,6933,1269446.93739,247579.80485,25507,13,13309,LKUN-NW,ASHWORTH AVE N AND N 55TH ST,0, ,NONE,-122.339051381082,47.6687805166024
-122.306426260504566,47.54573946052615,1120,16602,1276624.86969,202551.36116,34387,13,72654,GRDWM,SWIFT AVE S AND SWIFT AV OFF RP,1, ,NONE,-122.306426261854,47.5457394605086
-122.283345857713456,47.632173916155068,1121,10434,1282918.09414,233965.78423,29410,13,38503,E,E GALER ST AND E MADISON ST,2, ,NONE,-122.283345859065,47.6321739161378
-122.319154755697539,47.630489127283397,1122,10502,1274078.67935,233519.74852,28950,13,36110,E,FEDERAL AVE E AND E HIGHLAND DR,0, ,NONE,-122.319154757049,47.6304891272657
-122.280941624992252,47.677973437891005,1123,6047,1283825.0192,250657.76223,24969,13,7751,NE,44TH AVE NE AND 44TH PL NE,0, ,NONE,-122.280941626345,47.6779734378737
-122.382163794990731,47.683200774809698,1124,5431,1258932.43089,253049.55718,23900,13,2306,BLRD,20TH AVE NW AND NW 75TH ST,0, ,NONE,-122.382163796344,47.6832007747912
-122.30427305540114,47.634999864216141,1125,10155,1277778.84806,235094.32183,28461,13,31759,E,21ST AVE E AND INTERLAKEN N PL E,0, ,NONE,-122.304273056753,47.6349998641986
-122.268155229993909,47.554100858322116,1126,15991,1286131.95117,205422.20941,33682,13,67531,SE,52ND AVE S AND S MAYFLOWER ST,0, ,NONE,-122.268155231344,47.554100858305
-122.324682194997195,47.636766860659485,1127,9997,1272760.40044,235835.57981,28319,13,30708,LKUN,FRANKLIN AVE E AND E NEWTON ST,0, ,NONE,-122.324682196349,47.6367668606417
-122.332346046887068,47.62693515097925,1128,10756,1270801.44875,232286.70045,29099,13,36533,LKUN,ALOHA ST AND MINOR AVE N,0, ,NONE,-122.332346048239,47.6269351509614
-122.355327693340428,47.676001929634502,1129,6157,1265489.48996,250292.29893,24362,13,4751,NW,GREENWOOD AVE N AND N 65TH ST,3, ,NONE,-122.355327694693,47.6760019296163
-122.364567320213368,47.517363565504439,1130,18551,1262062.40542,192483.14867,34903,13,76348,DLRD,25TH AVE SW AND SW ROXBURY ST,1, ,NONE,-122.364567321562,47.5173635654862
-122.336786018242194,47.571381256994641,1131,14536,1269310.95122,212047.80072,32186,13,56260,GRDWM,COLORADO AVE S AND S SPOKANE SR ST,2, ,NONE,-122.336786019592,47.5713812569767
-122.378771552651088,47.561081248267797,1132,15303,1258873.35453,208496.76839,31922,13,54350,SW,37TH AVE SW AND SW ALASKA ST,2, ,NONE,-122.378771554001,47.5610812482494
-122.379332243422525,47.526901458270721,1133,17895,1258484.50052,196034.47641,34694,13,75139,SW,37TH AVE SW AND SW TILLMAN ST,0, ,NONE,-122.379332244772,47.5269014582523
-122.347383782237628,47.705059390490518,1134,3744,1267654.65067,260850.82566,36425,13,225737,NW,LINDEN AVE N AND N 105TH ST,1, ,NONE,-122.347383783591,47.7050593904724
-122.340807255427279,47.697794788725915,1135,4297,1269221.69195,258169.66547,37323,13,232307,NW,INTERLAKE AVE N AND N 95TH ST,0, ,NONE,-122.340807256781,47.6977947887079
-122.292385995051944,47.616434853400875,1136,11557,1280580.6864,228267.8783,29997,13,41120,CNTRL,31ST AVE AND E OLIVE ST,0, ,NONE,-122.292385996403,47.6164348533835
-122.344564970542237,47.694185669911548,1137,4581,1268270.67371,256871.58214,37340,13,232324,NW,AURORA AVE N AND N 90TH ST,1, ,CITY,-122.344564971896,47.6941856698935
-122.387584729274323,47.675948498278416,1138,6107,1257543.98672,250431.63205,23943,13,2349,BLRD,24TH AVE NW AND NW 65TH ST,2, ,CITY,-122.387584730627,47.6759484982599
-122.285358773735084,47.610369126554431,1139,11943,1282271.81037,226022.927,30287,13,42585,CNTRL,RANDOLPH AVE AND E MARION ST,0, ,NONE,-122.285358775086,47.6103691265371
-122.288939234451149,47.621308124903031,1140,11212,1281464.25606,230029.06307,29473,13,38739,CNTRL,34TH AVE E AND 35TH N AVE E,0, ,NONE,-122.288939235803,47.6213081248856
-122.282777032554591,47.704687402867314,1141,3815,1283556.47341,260408.89542,36860,13,228744,N,42ND AVE NE AND NE 105TH ST,0, ,NONE,-122.282777033908,47.70468740285
-122.378881556702282,47.674551030110173,1142,6266,1259677.3914,249878.80748,25118,13,11111,BLRD,17TH AVE NW AND NW 63RD ST,0, ,NONE,-122.378881558055,47.6745510300917
-122.27448615133649,47.562924891502561,1143,15270,1284629.1815,208669.55278,32596,13,59337,SE,47TH AVE S AND S OREGON ST,0, ,NONE,-122.274486152687,47.5629248914854
-122.382129996567798,47.668675798849058,1144,6871,1258834.13201,247752.24594,25152,13,11304,BLRD,20TH AVE NW AND NW MARKET ST,2, ,CITY,-122.382129997921,47.6686757988305
-122.327423612214886,47.603445806635804,1145,12316,1271848.69612,223696.61583,30477,13,44502,DWNTN,6TH AVE AND JEFFERSON ST,1, ,NONE,-122.327423613566,47.603445806618
-122.363248892064249,47.623534039760123,1146,10989,1263157.9907,231196.29123,28641,13,34311,MGNL-QA,5TH AVE W AND DEAD END,0, ,NONE,-122.363248893416,47.6235340397419
-122.30332852831036,47.575082975967447,1147,14136,1277594.227,213238.26574,31670,13,52784,GRDWM,23RD AVE S AND S HANFORD ST,2, ,CITY,-122.303328529661,47.5750829759499
-122.370992381058798,47.511935386501314,1148,18939,1260435.48138,190535.18937,38092,13,301525,SW,30TH AVE SW AND SW 102ND S ST,0, ,NONE,-122.370992382408,47.511935386483
-122.287756784873906,47.611612832412561,1149,11871,1281688.98003,226487.6758,30292,13,42591,CNTRL,E SPRING ST AND DEAD END 1,0, ,NONE,-122.287756786225,47.6116128323952
